rank,city1,city2,iata1,iata2,route_code,pax_to,pax_from,total_passengers,route_weight_percent,cumulative_weight_percent
104,MUMBAI,DEHRADUN,BOM,DED,BOM-DED,174407,163846,338253,0.2487,73.8381
105,MUMBAI,RANCHI,BOM,IXR,BOM-IXR,161821,172835,334656,0.246,74.0841
106,BHUBANESWAR,HYDERABAD,BBI,HYD,BBI-HYD,168533,164404,332937,0.2448,74.3289
107,MUMBAI,VADODARA,BOM,BDQ,BOM-BDQ,158026,168836,326862,0.2403,74.5692
108,DELHI,TRIVANDRUM,DEL,TRV,DEL-TRV,161062,165079,326141,0.2398,74.8089
109,MUMBAI,RAJKOT,BOM,,MUMBAI-RAJKOT,163744,159531,323275,0.2377,75.0466
110,CHENNAI,TRIVANDRUM,MAA,TRV,MAA-TRV,157302,164276,321578,0.2364,75.283
111,DELHI,RAJKOT,DEL,,DELHI-RAJKOT,160328,159593,319921,0.2352,75.5182
112,BHOPAL,MUMBAI,BHO,BOM,BHO-BOM,162060,155433,317493,0.2334,75.7516
113,BENGALURU,NAGPUR,BLR,NAG,BLR-NAG,152975,161467,314442,0.2312,75.9827
114,CHENNAI,GUWAHATI,MAA,GAU,MAA-GAU,153960,152931,306891,0.2256,76.2083
115,DELHI,GORAKHPUR,DEL,,DELHI-GORAKHPUR,155043,150962,306005,0.225,76.4333
116,MUMBAI,TRIVANDRUM,BOM,TRV,BOM-TRV,149722,156071,305793,0.2248,76.6581
117,AHMEDABAD,CHENNAI,AMD,MAA,AMD-MAA,152649,146948,299597,0.2202,76.8783
118,BENGALURU,INDORE,BLR,IDR,BLR-IDR,143583,153793,297376,0.2186,77.097
119,BENGALURU,COIMBATORE,BLR,CJB,BLR-CJB,142912,154357,297269,0.2185,77.3155
120,HYDERABAD,INDORE,HYD,IDR,HYD-IDR,135596,144856,280452,0.2062,77.5217
121,CHANDIGARH,SRINAGAR,IXC,SXR,IXC-SXR,132485,137429,269914,0.1984,77.7201
122,MUMBAI,JODHPUR,BOM,JDH,BOM-JDH,135187,134311,269498,0.1981,77.9182
123,KOLKATA,LUCKNOW,CCU,LKO,CCU-LKO,127243,141649,268892,0.1977,78.1159
124,HYDERABAD,VIJAYAWADA,HYD,,HYDERABAD-VIJAYAWADA,131660,131080,262740,0.1932,78.309
125,CHENNAI,VISAKHAPATNAM,MAA,VTZ,MAA-VTZ,126750,135902,262652,0.1931,78.5021
126,DELHI,JODHPUR,DEL,JDH,DEL-JDH,127783,126776,254559,0.1871,78.6893
127,HYDERABAD,RAJAHMUNDRY,HYD,,HYDERABAD-RAJAHMUNDRY,128369,125987,254356,0.187,78.8762
128,KOLKATA,PATNA,CCU,PAT,CCU-PAT,123969,127988,251957,0.1852,79.0615
129,JAIPUR,PUNE,JAI,PNQ,JAI-PNQ,131036,113116,244152,0.1795,79.241
130,HYDERABAD,VARANASI,HYD,VNS,HYD-VNS,119421,122778,242199,0.1781,79.419
131,BAGDOGRA,MUMBAI,IXB,BOM,IXB-BOM,122099,117203,239302,0.1759,79.5949
132,DELHI,DIBRUGARH,DEL,,DELHI-DIBRUGARH,134121,103939,238060,0.175,79.7699
133,HYDERABAD,LUCKNOW,HYD,LKO,HYD-LKO,115619,121815,237434,0.1745,79.9445
134,DELHI,SHIRDI,DEL,,DELHI-SHIRDI,119122,115503,234625,0.1725,80.117
135,HYDERABAD,PATNA,HYD,PAT,HYD-PAT,121570,111879,233449,0.1716,80.2886
136,KOLKATA,SILCHAR,CCU,,KOLKATA-SILCHAR,116694,116156,232850,0.1712,80.4598
137,CHANDIGARH,HYDERABAD,IXC,HYD,IXC-HYD,106427,116843,223270,0.1641,80.6239
138,BENGALURU,RAIPUR,BLR,RPR,BLR-RPR,112150,111100,223250,0.1641,80.788
139,DELHI,IMPHAL,DEL,IMF,DEL-IMF,108850,108640,217490,0.1599,80.9479
140,BENGALURU,VIJAYAWADA,BLR,,BENGALURU-VIJAYAWADA,105352,110328,215680,0.1586,81.1065
141,KOLKATA,RAIPUR,CCU,RPR,CCU-RPR,102940,111330,214270,0.1575,81.264
142,AURANGABAD,MUMBAI,,BOM,AURANGABAD-MUMBAI,111573,101870,213443,0.1569,81.4209
143,AHMEDABAD,CHANDIGARH,AMD,IXC,AMD-IXC,109004,101384,210388,0.1547,81.5755
144,HYDERABAD,RAIPUR,HYD,RPR,HYD-RPR,103084,105194,208278,0.1531,81.7287
145,AHMEDABAD,LUCKNOW,AMD,LKO,AMD-LKO,104881,102283,207164,0.1523,81.881
146,MUMBAI,MADURAI,BOM,IXM,BOM-IXM,103249,102919,206168,0.1516,82.0325
147,MUMBAI,GORAKHPUR,BOM,,MUMBAI-GORAKHPUR,105392,100367,205759,0.1513,82.1838
148,AHMEDABAD,JAIPUR,AMD,JAI,AMD-JAI,103357,100704,204061,0.15,82.3338
149,DELHI,VIJAYAWADA,DEL,,DELHI-VIJAYAWADA,101145,102277,203422,0.1495,82.4833
150,DIBRUGARH,KOLKATA,,CCU,DIBRUGARH-KOLKATA,101816,97091,198907,0.1462,82.6296
151,DABOLIM,PUNE,GOI,PNQ,GOI-PNQ,100023,94587,194610,0.1431,82.7726
152,AURANGABAD,DELHI,,DEL,AURANGABAD-DELHI,96528,96222,192750,0.1417,82.9143
153,BHUBANESWAR,CHENNAI,BBI,MAA,BBI-MAA,96048,93025,189073,0.139,83.0533
154,MUMBAI,KOZHIKODE,BOM,,MUMBAI-KOZHIKODE,94782,93784,188566,0.1386,83.1919
155,HYDERABAD,SHIRDI,HYD,,HYDERABAD-SHIRDI,88698,93007,181705,0.1336,83.3255
156,AGARTALA,GUWAHATI,IXA,GAU,IXA-GAU,85366,90296,175662,0.1291,83.4547
157,DELHI,KOZHIKODE,DEL,,DELHI-KOZHIKODE,86991,88384,175375,0.1289,83.5836
158,DARBHANGA,DELHI,,DEL,DARBHANGA-DELHI,86657,88464,175121,0.1287,83.7123
159,DELHI,JABALPUR,DEL,,DELHI-JABALPUR,88505,85314,173819,0.1278,83.8401
160,MUMBAI,VISAKHAPATNAM,BOM,VTZ,BOM-VTZ,81906,91609,173515,0.1276,83.9677
161,CHENNAI,TIRUCHIRAPALLY,MAA,,CHENNAI-TIRUCHIRAPALLY,89514,83929,173443,0.1275,84.0952
162,DABOLIM,LUCKNOW,GOI,LKO,GOI-LKO,82822,84006,166828,0.1226,84.2178
163,DABOLIM,KOLKATA,GOI,CCU,GOI-CCU,83886,79719,163605,0.1203,84.3381
164,CHENNAI,SHIRDI,MAA,,CHENNAI-SHIRDI,82164,79759,161923,0.119,84.4571
165,BENGALURU,DARBHANGA,BLR,,BENGALURU-DARBHANGA,81325,80061,161386,0.1186,84.5758
166,PATNA,PUNE,PAT,PNQ,PAT-PNQ,84532,76790,161322,0.1186,84.6943
167,BENGALURU,SHIRDI,BLR,,BENGALURU-SHIRDI,80822,80231,161053,0.1184,84.8127
168,BENGALURU,PORT BLAIR,BLR,IXZ,BLR-IXZ,80930,77819,158749,0.1167,84.9294
169,CHENNAI,TUTICORIN,MAA,,CHENNAI-TUTICORIN,81004,77181,158185,0.1163,85.0457
170,CHENNAI,DABOLIM,MAA,GOI,MAA-GOI,78106,78959,157065,0.1155,85.1612
171,GOA,BENGALURU,GOI,BLR,GOI-BLR,78635,76030,154665,0.1137,85.2749
172,BENGALURU,SURAT,BLR,STV,BLR-STV,74650,74247,148897,0.1095,85.3844
173,DELHI,DHARAMSALA,DEL,,DELHI-DHARAMSALA,80729,67021,147750,0.1086,85.493
174,MUMBAI,DARBHANGA,BOM,,MUMBAI-DARBHANGA,75505,72180,147685,0.1086,85.6015
175,AMRITSAR,SRINAGAR,ATQ,SXR,ATQ-SXR,76343,70511,146854,0.108,85.7095
176,CHANDIGARH,DABOLIM,IXC,GOI,IXC-GOI,71174,74389,145563,0.107,85.8165
177,MUMBAI,KANPUR,BOM,,MUMBAI-KANPUR,72875,70248,143123,0.1052,85.9217
178,AIZAWL,KOLKATA,,CCU,AIZAWL-KOLKATA,72307,70736,143043,0.1052,86.0269
179,KOLKATA,RANCHI,CCU,IXR,CCU-IXR,71187,71702,142889,0.105,86.1319
180,BENGALURU,DEHRADUN,BLR,DED,BLR-DED,70692,70540,141232,0.1038,86.2358
181,HYDERABAD,RANCHI,HYD,IXR,HYD-IXR,69366,70694,140060,0.103,86.3387
182,AHMEDABAD,VARANASI,AMD,VNS,AMD-VNS,68770,69821,138591,0.1019,86.4406
183,AHMEDABAD,PATNA,AMD,PAT,AMD-PAT,69476,68374,137850,0.1013,86.5419
184,BENGALURU,MADURAI,BLR,IXM,BLR-IXM,68823,68903,137726,0.1012,86.6432
185,BAGDOGRA,CHENNAI,IXB,MAA,IXB-MAA,70155,67086,137241,0.1009,86.7441
186,BENGALURU,VADODARA,BLR,BDQ,BLR-BDQ,66962,65073,132035,0.0971,86.8411
187,HYDERABAD,VADODARA,HYD,BDQ,HYD-BDQ,65092,66418,131510,0.0967,86.9378
188,DIMAPUR,KOLKATA,,CCU,DIMAPUR-KOLKATA,69402,61245,130647,0.096,87.0339
189,DABOLIM,SURAT,GOI,STV,GOI-STV,65839,64383,130222,0.0957,87.1296
190,GUWAHATI,JAIPUR,GAU,JAI,GAU-JAI,63463,65759,129222,0.095,87.2246
191,ALLAHABAD,DELHI,,DEL,ALLAHABAD-DELHI,64344,63646,127990,0.0941,87.3187
192,BHUBANESWAR,PUNE,BBI,PNQ,BBI-PNQ,64509,60800,125309,0.0921,87.4108
193,HYDERABAD,TRIVANDRUM,HYD,TRV,HYD-TRV,62791,61397,124188,0.0913,87.5021
194,GUWAHATI,HYDERABAD,GAU,HYD,GAU-HYD,61221,60387,121608,0.0894,87.5915
195,AGARTALA,DELHI,IXA,DEL,IXA-DEL,61484,57998,119482,0.0878,87.6793
196,GOA,MUMBAI,GOI,BOM,GOI-BOM,59253,59426,118679,0.0872,87.7666
197,BAGDOGRA,HYDERABAD,IXB,HYD,IXB-HYD,58923,59566,118489,0.0871,87.8537
198,CHENNAI,JODHPUR,MAA,JDH,MAA-JDH,58570,59680,118250,0.0869,87.9406
199,KOCHI,PUNE,COK,PNQ,COK-PNQ,58383,58914,117297,0.0862,88.0268
200,AHMEDABAD,DEHRADUN,AMD,DED,AMD-DED,59127,57508,116635,0.0857,88.1126
201,HYDERABAD,MADURAI,HYD,IXM,HYD-IXM,59132,56709,115841,0.0852,88.1977
202,KOLKATA,VARANASI,CCU,VNS,CCU-VNS,54844,60314,115158,0.0847,88.2824
203,MUMBAI,JAMMU,BOM,IXJ,BOM-IXJ,90465,24332,114797,0.0844,88.3668
204,INDORE,PUNE,IDR,PNQ,IDR-PNQ,58925,54927,113852,0.0837,88.4505
205,DELHI,DURGAPUR,DEL,,DELHI-DURGAPUR,57438,56409,113847,0.0837,88.5342
206,KOLKATA,SURAT,CCU,STV,CCU-STV,57186,56659,113845,0.0837,88.6179
207,GOA,DELHI,GOI,DEL,GOI-DEL,58030,55510,113540,0.0835,88.7013
208,CHENNAI,JAIPUR,MAA,JAI,MAA-JAI,56952,56470,113422,0.0834,88.7847
209,PUNE,RANCHI,PNQ,IXR,PNQ-IXR,55217,56812,112029,0.0824,88.8671
210,KOLKATA,NAGPUR,CCU,NAG,CCU-NAG,53395,58309,111704,0.0821,88.9492
211,CHANDIGARH,PUNE,IXC,PNQ,IXC-PNQ,57856,53563,111419,0.0819,89.0311
212,DELHI,MADURAI,DEL,IXM,DEL-IXM,55601,55322,110923,0.0815,89.1127
213,KOLKATA,VISAKHAPATNAM,CCU,VTZ,CCU-VTZ,53388,56481,109869,0.0808,89.1934
214,AIZAWL,GUWAHATI,,GAU,AIZAWL-GUWAHATI,58377,51440,109817,0.0807,89.2742
215,INDORE,RAIPUR,IDR,RPR,IDR-RPR,56814,52743,109557,0.0805,89.3547
216,BENGALURU,DURGAPUR,BLR,,BENGALURU-DURGAPUR,51591,57695,109286,0.0803,89.435
217,BENGALURU,HUBLI,BLR,,BENGALURU-HUBLI,53897,55348,109245,0.0803,89.5153
218,MUMBAI,KANNUR,BOM,,MUMBAI-KANNUR,54838,51793,106631,0.0784,89.5937
219,CHENNAI,DURGAPUR,MAA,,CHENNAI-DURGAPUR,53675,52337,106012,0.0779,89.6717
220,BENGALURU,TIRUCHIRAPALLY,BLR,,BENGALURU-TIRUCHIRAPALLY,54182,51741,105923,0.0779,89.7495
221,BENGALURU,BHOPAL,BLR,BHO,BLR-BHO,50495,53359,103854,0.0763,89.8259
222,CHANDIGARH,CHENNAI,IXC,MAA,IXC-MAA,48546,54753,103299,0.0759,89.9018
223,HYDERABAD,SURAT,HYD,STV,HYD-STV,49097,53900,102997,0.0757,89.9775
224,DEHRADUN,LUCKNOW,DED,LKO,DED-LKO,50734,52008,102742,0.0755,90.0531
225,LUCKNOW,PUNE,LKO,PNQ,LKO-PNQ,54092,48378,102470,0.0753,90.1284
226,MUMBAI,JABALPUR,BOM,,MUMBAI-JABALPUR,49373,52735,102108,0.0751,90.2035
227,DELHI,GAYA,DEL,,DELHI-GAYA,51303,50422,101725,0.0748,90.2782
228,DELHI,JHARSUGUDA,DEL,,DELHI-JHARSUGUDA,51111,49518,100629,0.074,90.3522
229,DEHRADUN,HYDERABAD,DED,HYD,DED-HYD,50551,49650,100201,0.0737,90.4259
230,MUMBAI,JAMNAGAR,BOM,,MUMBAI-JAMNAGAR,51083,48031,99114,0.0729,90.4987
231,CHENNAI,VIJAYAWADA,MAA,,CHENNAI-VIJAYAWADA,47271,51512,98783,0.0726,90.5714
232,GORAKHPUR,HYDERABAD,,HYD,GORAKHPUR-HYDERABAD,48629,49716,98345,0.0723,90.6437
233,ALLAHABAD,MUMBAI,,BOM,ALLAHABAD-MUMBAI,47913,50361,98274,0.0722,90.7159
234,HYDERABAD,MANGALORE,HYD,IXE,HYD-IXE,49906,48170,98076,0.0721,90.788
235,DELHI,PORT BLAIR,DEL,IXZ,DEL-IXZ,50471,47229,97700,0.0718,90.8598
236,MUMBAI,DURGAPUR,BOM,,MUMBAI-DURGAPUR,47344,49373,96717,0.0711,90.9309
237,KOCHI,KOLKATA,COK,CCU,COK-CCU,46443,49887,96330,0.0708,91.0017
238,AMRITSAR,KOLKATA,ATQ,CCU,ATQ-CCU,49021,47164,96185,0.0707,91.0725
239,BENGALURU,KOZHIKODE,BLR,,BENGALURU-KOZHIKODE,46254,49724,95978,0.0706,91.143
240,HYDERABAD,UDAIPUR,HYD,UDR,HYD-UDR,47003,48675,95678,0.0703,91.2133
241,INDORE,KOLKATA,IDR,CCU,IDR-CCU,48811,46558,95369,0.0701,91.2835
242,AGARTALA,BENGALURU,IXA,BLR,IXA-BLR,50176,44993,95169,0.07,91.3534
243,CHENNAI,LUCKNOW,MAA,LKO,MAA-LKO,47102,46109,93211,0.0685,91.4219
244,CHENNAI,RANCHI,MAA,IXR,MAA-IXR,43879,49301,93180,0.0685,91.4904
245,JAMMU,LEH,IXJ,IXL,IXJ-IXL,30020,62995,93015,0.0684,91.5588
246,BENGALURU,JODHPUR,BLR,JDH,BLR-JDH,45160,47316,92476,0.068,91.6268
247,BENGALURU,UDAIPUR,BLR,UDR,BLR-UDR,45581,46207,91788,0.0675,91.6943
248,CHANDIGARH,JAIPUR,IXC,JAI,IXC-JAI,48232,43518,91750,0.0674,91.7617
249,BENGALURU,RAJKOT,BLR,,BENGALURU-RAJKOT,44915,46769,91684,0.0674,91.8291
250,GUWAHATI,SILCHAR,GAU,,GUWAHATI-SILCHAR,45022,46223,91245,0.0671,91.8962
251,BENGALURU,RAJAHMUNDRY,BLR,,BENGALURU-RAJAHMUNDRY,43568,46408,89976,0.0661,91.9624
252,BENGALURU,KANNUR,BLR,,BENGALURU-KANNUR,43337,45858,89195,0.0656,92.0279
253,DARBHANGA,HYDERABAD,,HYD,DARBHANGA-HYDERABAD,46586,42513,89099,0.0655,92.0934
254,CHENNAI,PATNA,MAA,PAT,MAA-PAT,43960,44994,88954,0.0654,92.1588
255,LUCKNOW,PATNA,LKO,PAT,LKO-PAT,44640,43786,88426,0.065,92.2238
256,GUWAHATI,PUNE,GAU,PNQ,GAU-PNQ,43486,44692,88178,0.0648,92.2886
257,JORHAT,KOLKATA,,CCU,JORHAT-KOLKATA,41909,45037,86946,0.0639,92.3526
258,COIMBATORE,PUNE,CJB,PNQ,CJB-PNQ,45746,40825,86571,0.0636,92.4162
259,DIBRUGARH,GUWAHATI,,GAU,DIBRUGARH-GUWAHATI,53736,32686,86422,0.0635,92.4797
260,AMRITSAR,PUNE,ATQ,PNQ,ATQ-PNQ,42511,43778,86289,0.0634,92.5432
261,ALLAHABAD,BENGALURU,,BLR,ALLAHABAD-BENGALURU,43572,42598,86170,0.0633,92.6065
262,PATNA,RANCHI,PAT,IXR,PAT-IXR,43164,42573,85737,0.063,92.6695
263,CHANDIGARH,PATNA,IXC,PAT,IXC-PAT,41665,43303,84968,0.0625,92.732
264,DABOLIM,INDORE,GOI,IDR,GOI-IDR,42521,42419,84940,0.0624,92.7945
265,CHANDIGARH,LUCKNOW,IXC,LKO,IXC-LKO,40206,44060,84266,0.0619,92.8564
266,GUWAHATI,LUCKNOW,GAU,LKO,GAU-LKO,43086,40603,83689,0.0615,92.9179
267,CHENNAI,VARANASI,MAA,VNS,MAA-VNS,40311,41638,81949,0.0602,92.9782
268,HYDERABAD,TIRUCHIRAPALLY,HYD,,HYDERABAD-TIRUCHIRAPALLY,40983,39574,80557,0.0592,93.0374
269,LEH,SRINAGAR,IXL,SXR,IXL-SXR,67940,12480,80420,0.0591,93.0965
270,GOA,HYDERABAD,GOI,HYD,GOI-HYD,40569,39660,80229,0.059,93.1555
271,GUWAHATI,PATNA,GAU,PAT,GAU-PAT,38290,41920,80210,0.059,93.2145
272,AHMEDABAD,NAGPUR,AMD,NAG,AMD-NAG,40118,39872,79990,0.0588,93.2733
273,AHMEDABAD,KOCHI,AMD,COK,AMD-COK,41437,38549,79986,0.0588,93.3321
274,DABOLIM,JAIPUR,GOI,JAI,GOI-JAI,39859,39330,79189,0.0582,93.3903
275,LUCKNOW,RANCHI,LKO,IXR,LKO-IXR,38424,40052,78476,0.0577,93.448
276,JAIPUR,SURAT,JAI,STV,JAI-STV,38914,39495,78409,0.0576,93.5056
277,CHANDIGARH,KOLKATA,IXC,CCU,IXC-CCU,34523,41803,76326,0.0561,93.5617
278,DABOLIM,NAGPUR,GOI,NAG,GOI-NAG,37533,35411,72944,0.0536,93.6153
279,BENGALURU,KANPUR,BLR,,BENGALURU-KANPUR,33593,38850,72443,0.0533,93.6686
280,DURGAPUR,HYDERABAD,,HYD,DURGAPUR-HYDERABAD,36430,34621,71051,0.0522,93.7208
281,HYDERABAD,MYSORE,HYD,,HYDERABAD-MYSORE,36490,34318,70808,0.0521,93.7729
282,AURANGABAD,HYDERABAD,,HYD,AURANGABAD-HYDERABAD,36770,32529,69299,0.0509,93.8238
283,CHENNAI,SURAT,MAA,STV,MAA-STV,34387,34788,69175,0.0509,93.8747
284,HYDERABAD,JODHPUR,HYD,JDH,HYD-JDH,33969,34588,68557,0.0504,93.9251
285,DARBHANGA,KOLKATA,,CCU,DARBHANGA-KOLKATA,36263,32098,68361,0.0503,93.9753
286,AMRITSAR,BENGALURU,ATQ,BLR,ATQ-BLR,33738,33853,67591,0.0497,94.025
287,BELGAUM,BENGALURU,,BLR,BELGAUM-BENGALURU,33483,33416,66899,0.0492,94.0742
288,AHMEDABAD,INDORE,AMD,IDR,AMD-IDR,32521,33269,65790,0.0484,94.1226
289,CHENNAI,INDORE,MAA,IDR,MAA-IDR,32350,33280,65630,0.0482,94.1708
290,DELHI,DIMAPUR,DEL,,DELHI-DIMAPUR,32089,33167,65256,0.048,94.2188
291,AHMEDABAD,BAGDOGRA,AMD,IXB,AMD-IXB,33123,31013,64136,0.0471,94.2659
292,BENGALURU,KALABURAGI,BLR,,BENGALURU-KALABURAGI,32048,31803,63851,0.0469,94.3129
293,BELGAUM,HYDERABAD,,HYD,BELGAUM-HYDERABAD,32075,30528,62603,0.046,94.3589
294,CHENNAI,KOZHIKODE,MAA,,CHENNAI-KOZHIKODE,31060,31236,62296,0.0458,94.4047
295,DELHI,NASIK,DEL,,DELHI-NASIK,30627,31446,62073,0.0456,94.4503
296,BAREILLY,MUMBAI,,BOM,BAREILLY-MUMBAI,30658,31130,61788,0.0454,94.4957
297,CHENNAI,RAIPUR,MAA,RPR,MAA-RPR,30294,30460,60754,0.0447,94.5404
298,BAGDOGRA,DIBRUGARH,IXB,,BAGDOGRA-DIBRUGARH,33356,26835,60191,0.0442,94.5847
299,DELHI,GWALIOR,DEL,,DELHI-GWALIOR,27102,32870,59972,0.0441,94.6287
300,HYDERABAD,SRINAGAR,HYD,SXR,HYD-SXR,30429,29425,59854,0.044,94.6727
301,HYDERABAD,KOLHAPUR,HYD,,HYDERABAD-KOLHAPUR,30348,29381,59729,0.0439,94.7167
302,DEHRADUN,JAIPUR,DED,JAI,DED-JAI,31877,27620,59497,0.0437,94.7604
303,BHUBANESWAR,PATNA,BBI,PAT,BBI-PAT,29945,29199,59144,0.0435,94.8039
304,AGRA,BENGALURU,,BLR,AGRA-BENGALURU,29862,28726,58588,0.0431,94.8469
305,DELHI,DEOGHAR,DEL,,DELHI-DEOGHAR,29488,28666,58154,0.0428,94.8897
306,PUNE,TRIVANDRUM,PNQ,TRV,PNQ-TRV,29324,28741,58065,0.0427,94.9324
307,DELHI,MANGALORE,DEL,IXE,DEL-IXE,29118,28849,57967,0.0426,94.975
308,MUMBAI,KANDLA,BOM,,MUMBAI-KANDLA,28407,27692,56099,0.0412,95.0162
309,BENGALURU,GWALIOR,BLR,,BENGALURU-GWALIOR,27806,28025,55831,0.041,95.0573
310,DELHI,TIRUPATI,DEL,,DELHI-TIRUPATI,30330,24798,55128,0.0405,95.0978
311,DELHI,JAISALMER,DEL,,DELHI-JAISALMER,27451,27674,55125,0.0405,95.1383
312,INDORE,JAIPUR,IDR,JAI,IDR-JAI,27891,26899,54790,0.0403,95.1786
313,BELGAUM,DELHI,,DEL,BELGAUM-DELHI,28052,26594,54646,0.0402,95.2188
314,BHOPAL,HYDERABAD,BHO,HYD,BHO-HYD,28075,26393,54468,0.04,95.2588
315,HYDERABAD,PORT BLAIR,HYD,IXZ,HYD-IXZ,26491,27969,54460,0.04,95.2989
316,AHMEDABAD,BHUBANESWAR,AMD,BBI,AMD-BBI,27507,26620,54127,0.0398,95.3387
317,DELHI,PANTNAGAR,DEL,,DELHI-PANTNAGAR,26477,26411,52888,0.0389,95.3775
318,HYDERABAD,NAGPUR,HYD,NAG,HYD-NAG,25534,26823,52357,0.0385,95.416
319,HYDERABAD,JABALPUR,HYD,,HYDERABAD-JABALPUR,25156,26915,52071,0.0383,95.4543
320,HYDERABAD,PONDICHERRY,HYD,,HYDERABAD-PONDICHERRY,25877,25359,51236,0.0377,95.492
321,MUMBAI,TIRUPATI,BOM,,MUMBAI-TIRUPATI,26257,24840,51097,0.0376,95.5295
322,BAREILLY,BENGALURU,,BLR,BAREILLY-BENGALURU,25866,25228,51094,0.0376,95.5671
323,GAYA,KOLKATA,,CCU,GAYA-KOLKATA,27591,23037,50628,0.0372,95.6043
324,PUNE,RAIPUR,PNQ,RPR,PNQ-RPR,24698,25167,49865,0.0367,95.641
325,CHENNAI,NAGPUR,MAA,NAG,MAA-NAG,26624,23086,49710,0.0365,95.6775
326,INDORE,NAGPUR,IDR,NAG,IDR-NAG,24458,24640,49098,0.0361,95.7136
327,AHMEDABAD,AMRITSAR,AMD,ATQ,AMD-ATQ,23717,24966,48683,0.0358,95.7494
328,CHENNAI,MYSORE,MAA,,CHENNAI-MYSORE,24032,24518,48550,0.0357,95.7851
329,CHENNAI,MANGALORE,MAA,IXE,MAA-IXE,24712,23793,48505,0.0357,95.8207
330,INDORE,LUCKNOW,IDR,LKO,IDR-LKO,23237,25163,48400,0.0356,95.8563
331,CHENNAI,RAJAHMUNDRY,MAA,,CHENNAI-RAJAHMUNDRY,22719,25397,48116,0.0354,95.8917
332,MUMBAI,HUBLI,BOM,,MUMBAI-HUBLI,24481,23335,47816,0.0352,95.9268
333,BENGALURU,TIRUPATI,BLR,,BENGALURU-TIRUPATI,23937,23760,47697,0.0351,95.9619
334,GORAKHPUR,KOLKATA,,CCU,GORAKHPUR-KOLKATA,24388,23241,47629,0.035,95.9969
335,JAIPUR,LUCKNOW,JAI,LKO,JAI-LKO,23595,23457,47052,0.0346,96.0315
336,HYDERABAD,KOZHIKODE,HYD,,HYDERABAD-KOZHIKODE,23498,23517,47015,0.0346,96.0661
337,GOA,JAIPUR,GOI,JAI,GOI-JAI,24293,22687,46980,0.0345,96.1006
338,AMRITSAR,DABOLIM,ATQ,GOI,ATQ-GOI,22190,24720,46910,0.0345,96.1351
339,BELGAUM,MUMBAI,,BOM,BELGAUM-MUMBAI,23326,23543,46869,0.0345,96.1696
340,KOCHI,TRIVANDRUM,COK,TRV,COK-TRV,23188,23185,46373,0.0341,96.2036
341,AHMEDABAD,RAIPUR,AMD,RPR,AMD-RPR,23552,22596,46148,0.0339,96.2376
342,TIRUPATI,VISAKHAPATNAM,,VTZ,TIRUPATI-VISAKHAPATNAM,21858,23718,45576,0.0335,96.2711
343,HYDERABAD,KANNUR,HYD,,HYDERABAD-KANNUR,22101,22940,45041,0.0331,96.3042
344,AHMEDABAD,RANCHI,AMD,IXR,AMD-IXR,22337,22563,44900,0.033,96.3372
345,DABOLIM,RAIPUR,GOI,RPR,GOI-RPR,21736,23145,44881,0.033,96.3702
346,AIZAWL,DELHI,,DEL,AIZAWL-DELHI,22073,22585,44658,0.0328,96.403
347,VIJAYAWADA,VISAKHAPATNAM,,VTZ,VIJAYAWADA-VISAKHAPATNAM,22182,22129,44311,0.0326,96.4356
348,CHENNAI,KANNUR,MAA,,CHENNAI-KANNUR,23184,21048,44232,0.0325,96.4681
349,LUCKNOW,NAGPUR,LKO,NAG,LKO-NAG,23229,20853,44082,0.0324,96.5005
350,MUMBAI,GWALIOR,BOM,,MUMBAI-GWALIOR,21752,22043,43795,0.0322,96.5327
351,KOCHI,KANNUR,COK,,KOCHI-KANNUR,21134,22563,43697,0.0321,96.5648
352,AHMEDABAD,BHOPAL,AMD,BHO,AMD-BHO,21033,22424,43457,0.0319,96.5968
353,BHUBANESWAR,JAIPUR,BBI,JAI,BBI-JAI,20840,22613,43453,0.0319,96.6287
354,DELHI,HUBLI,DEL,,DELHI-HUBLI,21857,21564,43421,0.0319,96.6606
355,ALLAHABAD,RAIPUR,,RPR,ALLAHABAD-RAIPUR,21782,21067,42849,0.0315,96.6921
356,ALLAHABAD,PUNE,,PNQ,ALLAHABAD-PUNE,21321,21390,42711,0.0314,96.7235
357,JAIPUR,UDAIPUR,JAI,UDR,JAI-UDR,21770,20680,42450,0.0312,96.7548
358,AGATTI ISLAND,KOCHI,,COK,AGATTI ISLAND-KOCHI,18935,22950,41885,0.0308,96.7855
359,BENGALURU,TUTICORIN,BLR,,BENGALURU-TUTICORIN,21472,19819,41291,0.0304,96.8159
360,CHENNAI,HUBLI,MAA,,CHENNAI-HUBLI,20058,21116,41174,0.0303,96.8462
361,BHAVNAGAR,MUMBAI,,BOM,BHAVNAGAR-MUMBAI,20006,21144,41150,0.0303,96.8764
362,JABALPUR,PUNE,,PNQ,JABALPUR-PUNE,20504,20573,41077,0.0302,96.9066
363,KANNUR,TRIVANDRUM,,TRV,KANNUR-TRIVANDRUM,19752,20916,40668,0.0299,96.9365
364,BHUBANESWAR,VARANASI,BBI,VNS,BBI-VNS,19769,20815,40584,0.0298,96.9663
365,HUBLI,HYDERABAD,,HYD,HUBLI-HYDERABAD,20714,19716,40430,0.0297,96.9961
366,KOLHAPUR,TIRUPATI,,,KOLHAPUR-TIRUPATI,17801,22553,40354,0.0297,97.0257
