rank,city1,city2,iata1,iata2,route_code,pax_to,pax_from,total_passengers,route_weight_percent,cumulative_weight_percent
684,COIMBATORE,DURGAPUR,CJB,,COIMBATORE-DURGAPUR,204,146,350,0.0003,99.9933
685,GWALIOR,JABALPUR,,,GWALIOR-JABALPUR,209,129,338,0.0002,99.9936
686,KANNUR,TIRUCHIRAPALLY,,,KANNUR-TIRUCHIRAPALLY,261,66,327,0.0002,99.9938
687,GOA,VISAKHAPATNAM,GOI,VTZ,GOI-VTZ,140,187,327,0.0002,99.994
688,TIRUCHIRAPALLY,TIRUPATI,,,TIRUCHIRAPALLY-TIRUPATI,195,129,324,0.0002,99.9943
689,DIBRUGARH,ITANAGAR,,,DIBRUGARH-ITANAGAR,175,135,310,0.0002,99.9945
690,JAIPUR,PANTNAGAR,JAI,,JAIPUR-PANTNAGAR,183,126,309,0.0002,99.9947
691,DHARAMSALA,SIMLA,,,DHARAMSALA-SIMLA,179,123,302,0.0002,99.9949
692,AHMEDABAD,VADODARA,AMD,BDQ,AMD-BDQ,0,292,292,0.0002,99.9952
693,CHENNAI,UDAIPUR,MAA,UDR,MAA-UDR,153,128,281,0.0002,99.9954
694,DURGAPUR,VADODARA,,BDQ,DURGAPUR-VADODARA,0,274,274,0.0002,99.9956
695,AIZAWL,DIMAPUR,,,AIZAWL-DIMAPUR,4,269,273,0.0002,99.9958
696,BHOPAL,INDORE,BHO,IDR,BHO-IDR,107,157,264,0.0002,99.996
697,AGATTI ISLAND,MYSORE,,,AGATTI ISLAND-MYSORE,177,80,257,0.0002,99.9962
698,GOA,LUCKNOW,GOI,LKO,GOI-LKO,100,151,251,0.0002,99.9963
699,AHMEDABAD,SRINAGAR,AMD,SXR,AMD-SXR,117,123,240,0.0002,99.9965
700,BAREILLY,JAIPUR,,JAI,BAREILLY-JAIPUR,162,77,239,0.0002,99.9967
701,BAGDOGRA,RANCHI,IXB,IXR,IXB-IXR,93,123,216,0.0002,99.9968
702,JAIPUR,NAGPUR,JAI,NAG,JAI-NAG,0,188,188,0.0001,99.997
703,COIMBATORE,KOZHIKODE,CJB,,COIMBATORE-KOZHIKODE,172,0,172,0.0001,99.9971
704,KOZHIKODE,TRIVANDRUM,,TRV,KOZHIKODE-TRIVANDRUM,0,169,169,0.0001,99.9972
705,BHOPAL,LUCKNOW,BHO,LKO,BHO-LKO,160,0,160,0.0001,99.9974
706,RANCHI,VISAKHAPATNAM,IXR,VTZ,IXR-VTZ,56,102,158,0.0001,99.9975
707,IMPHAL,LUCKNOW,IMF,LKO,IMF-LKO,1,154,155,0.0001,99.9976
708,DEOGHAR,RANCHI,,IXR,DEOGHAR-RANCHI,87,65,152,0.0001,99.9977
709,ITANAGAR,ZIRO,,,ITANAGAR-ZIRO,69,78,147,0.0001,99.9978
710,KANNUR,MANGALORE,,IXE,KANNUR-MANGALORE,63,77,140,0.0001,99.9979
711,ITANAGAR,PASIGHAT,,,ITANAGAR-PASIGHAT,64,72,136,0.0001,99.998
712,BAGDOGRA,SILCHAR,IXB,,BAGDOGRA-SILCHAR,133,0,133,0.0001,99.9981
